AUV X [m],AUV Y [m],AUV Z [m],AUV Heading [Degrees],Time Stamp [s]
0.4262382088714552,0.34017582690446274,3.5193990417400527,177.41256622139977,0.6
0.4252390750206091,0.33868195960398073,3.52362285694525,177.2894773722444,0.8
0.4270902106688184,0.3352174377152297,3.5156953518672753,177.64332328987084,0.9
0.42666688743153247,0.3360767695693684,3.508591559123924,177.2315294857517,1.0
0.42657497452581233,0.33373004559339065,3.5136673202020887,177.32146660812958,1.1
0.4275580456177978,0.3316693342595789,3.5104236266313005,177.47647869376272,1.2
0.42693606325956573,0.3310649137735656,3.5143395814572926,177.36623775785708,1.3
0.42680059280777594,0.330536698400154,3.51535160365687,177.3081501084128,1.4
0.42678348471892696,0.33047483532514194,3.513964145805817,177.23820896508562,1.5
0.42660134624599266,0.3303971775509946,3.515031534617323,177.19114008966625,1.6
0.4266524266609834,0.3299172948982477,3.5126537523713233,177.09143952195816,1.7
0.4273563449307919,0.3290822072765914,3.5096306677891556,177.169420442929,1.8
0.4269043163705718,0.3295707468087789,3.513166175043767,177.06886470060542,1.9
0.4271987153306906,0.3296283133454153,3.5152605941211403,177.17363396709737,2.0
0.4273724674649092,0.33161459653301384,3.511943333937379,177.0576518910394,2.1
0.42713912956552946,0.3333619149452547,3.513640981406392,176.9904016675538,2.2
0.42774410052031386,0.33440792072965325,3.512559718106311,177.0983206690144,2.3
0.4280259325221964,0.3362150115172976,3.510352370462505,177.07444163094593,2.4
0.42792213274715196,0.33726638608923165,3.513895352769814,177.0874185379597,2.5
0.42824574204403876,0.3377940389258584,3.514424891317625,177.1583668312116,2.6
0.429157017384538,0.33717297398580537,3.512789075208521,177.36368696294497,2.7
0.42899698825457777,0.33759546545388375,3.513918980041903,177.2779948619234,2.8
0.42993646273154607,0.33669786483612135,3.509201745467357,177.3767594232537,2.9
0.43074290474351995,0.33503256827326144,3.506592812412152,177.50224853065907,3.0
0.4314867327566442,0.332859682785958,3.5050603962449456,177.64848214675217,3.1
0.43208458631949503,0.33116909286956686,3.501486226608346,177.6872964561267,3.2
0.432109532363995,0.3301694741330492,3.499177133381695,177.56098614842202,3.3
0.43264917743517994,0.3281455328184714,3.497769959569802,177.630967406019,3.4
0.4339914544983953,0.3260580536495786,3.4914930340659835,177.80618158771873,3.5
0.43488890840402616,0.3249376719127348,3.486831134642119,177.87292421428018,3.6
0.4346807599057742,0.3248857425916986,3.4886563960544867,177.78056401318347,3.7
